Mahalle;Metrekare(net);Oda_Sayisi(+1);Isitma_Tipi;Bina_Yasi;Bulundugu_Kat;Bina_KatSayisi;Banyo_Sayisi;Esya_Durumu;Fiyat(bin_tl)
1;90;2;1;0;3;4;1;0;50
2;160;3;1;0;3;15;1;0;410
3;135;3;1;0;4;5;1;0;205
4;135;3;1;0;7;7;2;0;255
4;50;1;1;4;3;4;1;0;94
4;80;2;1;0;0;5;1;0;125
4;121;3;4;0;3;18;2;0;373
4;165;3;1;1;1;8;2;0;360
4;105;2;1;0;2;4;1;0;135
5;149;3;1;0;4;4;1;0;270
15;120;2;1;0;2;4;1;0;224
8;125;3;1;0;2;4;2;0;240
6;115;3;1;0;4;4;1;0;187
5;155;3;1;0;2;4;1;0;272
6;110;3;3;0;4;4;1;0;132
4;90;2;1;0;3;5;1;0;162
5;160;4;1;5;1;4;2;0;390
7;120;3;1;11;4;5;1;0;175
8;125;3;1;0;2;5;2;0;205
1;100;2;1;16;4;4;1;0;165
9;135;4;1;4;1;4;1;0;270
10;130;3;1;0;2;4;1;0;180
11;130;3;1;2;4;4;1;0;268
12;105;3;1;0;3;3;1;1;175
7;125;3;1;0;0;4;2;0;205
7;69;1;2;21;4;4;1;0;115
3;115;3;2;5;0;3;1;0;120
13;100;2;3;2;3;4;1;0;150
4;120;3;1;0;1;4;1;0;199
4;145;3;1;0;4;5;2;1;390
14;140;3;2;0;0;4;1;0;150
5;126;3;1;0;2;4;2;0;430
8;130;3;1;0;3;5;1;0;250
4;80;2;1;0;0;4;1;0;154
15;110;2;1;0;4;5;1;0;220
4;90;2;0;0;0;4;1;0;135
3;105;3;1;0;2;4;2;0;133
5;120;2;1;16;0;4;1;0;280
10;125;3;1;0;3;4;1;0;158
15;120;3;1;0;4;4;1;0;230
4;250;6;1;0;4;4;2;0;440
8;240;4;1;0;4;4;2;0;400
4;120;3;1;3;7;7;1;0;178
10;120;3;1;0;2;4;1;0;195
16;140;3;1;11;4;4;1;0;189
16;125;3;1;0;2;4;1;0;195
1;117;3;3;11;3;4;1;0;125
8;145;3;1;0;3;4;2;0;349
5;115;3;1;0;4;4;1;0;195
8;150;3;1;0;3;4;2;0;309
15;117;2;1;0;3;4;1;0;270
9;155;3;1;0;3;4;2;0;309
8;360;6;1;1;3;3;2;0;570
17;107;2;1;0;2;5;1;0;240
3;90;2;0;0;2;5;1;0;135
8;155;3;1;2;2;4;2;0;265
14;90;2;2;0;4;4;1;0;160
11;120;2;1;0;2;4;1;0;275
4;116;2;1;0;2;5;1;0;215
8;117;3;1;0;2;4;2;0;260
4;175;4;0;0;3;4;2;0;315
14;117;2;2;21;0;1;1;0;149
18;1000;3;2;1;2;2;1;0;420
14;188;2;2;26;0;1;1;0;235
19;80;2;1;21;4;4;1;0;108
6;100;3;2;0;4;4;1;0;145
9;165;3;1;0;5;5;1;0;330
16;170;3;1;2;3;4;1;0;170
11;160;3;1;3;2;4;2;0;375
4;135;3;1;0;2;4;1;0;260
4;115;3;1;0;3;4;1;0;165
4;130;3;1;0;3;4;1;0;195
4;135;3;1;0;2;4;1;0;265
4;130;3;1;0;1;4;1;0;280
4;125;3;1;0;2;4;1;0;190
4;125;3;1;0;3;4;1;0;190
4;115;3;1;0;2;4;1;0;180
4;135;3;1;0;3;4;1;0;210
4;115;3;1;0;4;4;1;0;310
4;115;3;1;0;2;4;1;0;215
4;105;3;1;0;1;3;1;0;230
4;135;3;1;0;0;4;1;0;185
4;130;3;1;0;4;4;1;0;178
4;140;3;1;0;2;4;1;0;170
4;125;3;1;0;2;4;1;0;190
4;110;3;1;0;2;4;1;0;235
4;110;3;1;0;3;4;1;0;165
4;135;3;1;0;3;4;1;0;235
4;145;3;1;0;2;4;1;0;187
5;145;3;1;0;3;4;1;0;339
5;145;3;1;0;3;4;1;0;320
5;155;3;1;0;3;4;1;0;315
5;115;3;1;0;2;4;1;0;300
5;125;3;1;0;4;4;1;0;270
5;160;3;1;0;4;4;1;0;259
5;150;3;1;0;2;4;1;0;255
5;125;3;1;0;2;4;1;0;240
5;120;3;1;0;0;4;1;0;240
5;110;3;1;0;4;4;1;0;199
1;155;3;1;0;3;4;1;0;355
1;135;3;1;0;1;4;1;0;340
1;125;3;1;0;2;4;1;0;330
1;135;3;1;0;2;4;1;0;330
1;145;3;1;0;2;4;1;0;325
1;145;3;1;0;2;4;1;0;320
1;115;3;1;0;4;4;1;0;315
1;145;3;1;0;4;4;1;0;299
1;120;3;1;0;3;4;1;0;285
1;115;3;1;0;3;4;1;0;280
1;135;3;1;0;4;4;1;0;269
1;125;3;1;0;4;4;1;0;265
3;115;3;1;0;2;4;1;0;265
3;115;3;1;0;4;4;1;0;265
3;135;3;1;0;2;4;1;0;260
8;135;3;1;0;2;4;1;0;360
8;135;3;1;0;4;4;1;0;350
8;115;3;1;0;2;4;1;0;350
8;130;3;1;0;0;4;1;0;325
8;135;3;1;0;2;4;1;0;300
8;135;3;1;0;4;4;1;0;270
8;115;3;1;0;2;4;1;0;270
8;115;3;1;0;2;4;1;0;270
8;115;3;1;0;4;4;1;0;255
8;125;3;1;0;3;4;1;0;240
8;115;3;1;0;0;4;1;0;229
8;115;3;1;0;2;4;1;0;225
8;120;3;1;0;0;4;1;0;210
8;105;3;1;0;1;4;1;0;175
15;150;3;1;0;4;4;1;0;210
15;150;3;1;0;4;4;1;0;210
15;110;3;1;0;2;4;1;0;200
15;130;3;1;0;3;4;1;0;180
10;125;3;1;0;2;4;1;0;185
10;125;3;1;0;2;4;1;0;185
10;120;3;1;0;3;4;1;0;169
9;145;3;1;0;3;4;1;0;320
9;130;3;1;0;4;4;1;0;250
9;105;3;1;0;2;4;1;0;240
9;115;3;1;0;4;4;1;0;220
9;125;3;1;0;4;4;1;0;210
16;130;3;1;0;3;4;1;0;190
16;125;3;1;0;3;4;1;0;188
16;135;3;1;0;4;4;1;0;185
16;140;3;1;0;4;4;1;0;185
